,Unnamed: 0,Country,GDP per capita (current US$/inhab),"Agriculture, value added (% GDP) (%)",Human Development Index (HDI) [highest = 1] (-),Agricultural water withdrawal as % of total water withdrawal (%),Total population with access to safe drinking-water (JMP) (%),Urban population with access to safe drinking-water (JMP) (%),Net official development assistance and official aid received (current US$),"Mortality rate, infant (per 1,000 live births)",Water Security Index
33,33,Honduras,2476.9372077163425,5.210554036363419,0.6601409523809547,73.30429371999998,97.51295238095236,99.09904761904768,225071968.0,11.77110904455185,4.0
34,34,Jordan,4272.217881568475,0.5114897490907424,0.7640761904761915,52.582736789910534,97.09961904761913,97.58457142857145,1855058304.0,11.46969649195671,4.0
35,35,Niger,501.3780074836377,26.18049947818179,0.4172266666666644,95.18949377072386,67.10647619047609,115.10133333333351,3717750720.0,54.248042583465576,4.0
36,36,Pakistan,1486.098670762418,17.832120296363314,0.6095180952380961,92.40146562462206,93.22609523809535,93.00857142857149,-5422788096.0,35.78729271888733,4.0
37,37,Brazil,11701.952170915143,1.022187661818009,0.8017390476190496,58.11240076440012,101.64209523809531,101.49485714285723,-5568603776.0,7.5372369289398184,4.0
38,38,Iraq,5418.312111692096,0.82672793212123,0.732114285714287,81.69429228484431,90.24,93.18800000000007,64344072192.0,19.055677592754364,4.0
39,39,Ghana,2125.5802686133397,15.662438083635836,0.6324438095238101,77.61886744349103,100.33523809523831,95.43295238095243,-861241088.0,24.63720464706421,4.0
40,40,Peru,6663.120854535721,2.4067165381817968,0.8020419047619054,75.94416803000013,91.1318095238097,92.59428571428585,1403438496.0,1.849514961242676,4.0
41,41,Chad,953.5349953321128,25.76412174909069,0.4610800000000097,74.36972336335714,55.333904761904705,81.22285714285748,1815644672.0,60.8750730752945,4.0
42,42,Costa Rica,11343.412215655671,3.423542729696976,0.8336304761904767,72.94678483000001,99.70400000000005,99.73295238095241,263490880.0,4.843479216098785,4.0
43,43,Lesotho,1335.7436044933274,-7.063985972727551,0.4935771428571423,-13.578589958385233,83.32780952380955,95.30533333333338,-168446328.0,80.13677406311034,4.0
44,44,Thailand,6793.199374335702,1.5551299727271726,0.8252209523809544,90.37448086,101.82838095238094,98.21695238095242,-7616394240.0,5.7556382566690445,4.0
45,45,Belize,5924.024726313946,8.338594023030396,0.7537123809523809,62.29044862621413,110.58438095238192,103.39523809523813,-43098208.0,4.0656888484954825,4.0
46,46,Madagascar,533.6889288787878,28.19678499090889,0.5549400000000038,94.5914335765714,58.69200000000001,85.05352380952377,3405760896.0,25.094402313232425,4.0
47,47,Algeria,5067.102836300561,9.36517104181815,0.8248742857142891,56.08402413371437,80.8268571428572,79.50971428571415,1051267840.0,27.09929716587067,4.0
48,48,Indonesia,3824.0327149684886,1.3608087181817154,0.7636514285714302,80.06708015102839,93.76152380952385,95.81161904761909,3981273472.0,16.183704987168312,4.0
49,49,Zimbabwe,1104.3250623818176,12.375688654545641,0.5392285714285698,83.01517986535711,76.14857142857143,96.09504761904765,653392288.0,14.93019539490342,4.0
50,50,Tunisia,4590.611305214523,6.085808016363502,0.8013257142857171,74.09013289588563,103.40476190476193,101.80571428571432,501037280.0,7.776165246963501,4.0
51,51,Tajikistan,1076.0936185123646,17.803611535238247,0.6811638095238077,90.13777713079996,81.78400000000009,93.59600000000003,-131521184.0,-17.235864639282227,3.0
52,52,Botswana,8446.402970212046,-11.977673400000413,0.7597904761904761,31.465311101218845,97.57714285714287,98.97333333333336,426043712.0,-6.612043380737305,3.0
53,53,China,7248.219123627816,-0.4632549945458777,0.83693523809524,53.49271165835785,105.97276190476214,97.68476190476194,6932386816.0,1.8194029331207275,4.0
54,54,Dominica,8620.759996816982,4.9373742678789085,0.7456400000000016,4.999999999999999,94.348,95.70000000000003,209374864.0,32.70072436332702,4.0
55,55,Malaysia,11568.64459385682,0.8644541745449033,0.8501238095238097,33.92740077152325,101.3013333333334,102.04723809523821,1706908032.0,4.1833258867263785,4.0
