,country,Total area of the country (excl. coastal water) (1000 ha),Rural population (1000 inhab),Urban population (1000 inhab),Population density (inhab/km2),GDP per capita (current US$/inhab),"Agriculture, value added (% GDP) (%)",Human Development Index (HDI) [highest = 1] (-),National Rainfall Index (NRI) (mm/yr),Total renewable water resources per capita (m3/inhab/yr),Total exploitable water resources (10^9 m3/yr),Dam capacity per capita (m3/inhab),Agricultural water withdrawal (10^9 m3/year),Industrial water withdrawal (km<sup>3</sup>/year or 10<sup>9</sup>m<sup>3</sup>/year),Municipal water withdrawal (km<sup>3</sup>/year or 10<sup>9</sup>m<sup>3</sup>/year),Total water withdrawal (10^9 m3/yr),Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),Capacity of the municipal wastewater treatment facilities (10^9 m3/yr),Agricultural water withdrawal as % of total water withdrawal (%),SDG 6.4.2. Water Stress (%),SDG 6.4.1. Water Use Efficiency (US$/m3),SDG 6.4.1. Irrigated Agriculture Water Use Efficiency (US$/m3),SDG 6.4.1. Industrial Water Use Efficiency (US$/m3),% of total cultivated area drained (%),Area salinized by irrigation (1000 ha),Flood occurrence (WRI) (-),Total population with access to safe drinking-water (JMP) (%),Rural population with access to safe drinking-water (JMP) (%),Urban population with access to safe drinking-water (JMP) (%),Population affected by water related disease (1000 inhabitants),"Mortality rate, infant (per 1,000 live births)",Net official development assistance and official aid received (current US$),nutrient security,population ages0-14,Population ages 65 and above (_ of total population),Resilience and securityStorage drought duration index(Total dam capacity_km3),Unnamed: 2
10,Azerbaijan,8660,4388.663,5438.926,113.6872979,4158.357869,5.607369,0.752,459.7,3521.977955,,2188.085303,9.27,3.062,0.4496,12.7816,1298.241195,,72.52613131,56.44336498,3.665471529,0.223641979,8.12191345,26.03254602,288.2,3,87,77.8,94.7,,18.2,120980003.4,245,23.44191985,6.44638912,21.5424,
11,Bahamas,1388,67.508,327.853,27.50396254,30732.41923,0.789274,0.804,1320,1833.636757,,,,,0.031,,,,,,,,,,,,98.4,98.4,98.4,,,,28,,,,
12,Bahrain,78,161.409,1331.175,1915.482051,23739.14392,0.290996,0.839,,77.63995941,,0,0.1447,0.0141,0.2756,0.4344,290.7482618,0.073,33.31031308,133.7068966,76.21351986,0.621394286,948.6757614,28.26086957,1.065,0,100,100,100,,5.9,,,18.71869615,2.518809729,0,
13,Bangladesh,14797.7,105622.933,59046.818,1079.123269,1491.67341,13.413465,0.609,2309,7684.057626,,40.56099698,31.5,0.77,3.6,35.87,224.6291434,,87.81711737,5.723339482,5.715194816,0.745527094,76.68480614,17.48389779,100,4.9,86.9,87,86.5,,25.6,4482600098,30,27.21436538,5.180351348,6.477,
14,Barbados,43,196.693,89.026,665.655814,17423.25113,1.298674,0.813,,279.4935577,,,0.0548,0.0062,0.02,0.081,282.9872271,,67.65432099,87.5,52.09693956,0.911930449,82.53681064,,,3.6,99.7,99.7,99.7,,11.7,,103,17.05043115,16.23099033,,
15,Belarus,20760,2070.383,7397.955,45.52134393,5779.833675,7.565833,0.815,615.7,6126.83436,,328.0343094,0.431,0.443,0.523,1.397,147.8270743,1.35,30.85182534,4.604482531,32.02741327,0.065944778,35.14188205,49.68840952,,2.6,99.7,99.1,99.9,,2.4,214229995.7,45,17.03632015,15.20084135,3.1,
16,Belgium,3053,233.097,11196.239,374.0500491,44118.92566,0.637057,0.917,1070,1602.4872,1,12.63600563,0.045,3.21,0.739,3.994,349.7450206,,1.126690035,49.06633907,106.0715152,0.79485342,25.46683152,,,2.8,100,100,100,,2.7,,16,17.05820304,19.00656607,0.1443,
17,Belize,2297,203.824,170.857,16.35912059,4901.752333,11.204338,0.719,2013,57838.72539,,323.8691856,0.0684,0.0212,0.0114,0.101,268.7821507,,67.72277228,1.260294485,13.2831854,0.145567212,8.619814833,,,2.6,99.5,100,98.9,,10.6,37659999.85,18,29.70439576,4.86738926,0.1217,
18,Benin,11476,5949.046,5226.646,97.37886023,829.419035,23.018408,0.515,959.5,2361.479412,,2.102871019,0.059,0.03,0.145,0.234,20.93922631,,25.21367521,0.975243811,27.26190133,0.326537341,64.62042974,0.016558824,,3.6,77.9,72.1,85.2,,59,602210022,,42.20551877,3.264884925,0.0235,
19,Bhutan,3839.4,483.217,324.393,19.4187373,3130.235119,17.367124,0.615,2609,104618.9256,,0,0.318,0.003,0.017,0.338,453.3486774,,94.08284024,1.413807531,5.860524693,0.539235505,212.2096371,,,4.7,100,100,100,,23.8,181410003.7,,25.34019489,6.092974373,0,
20,Bolivia (Plurinational State of),109858,3417.155,7634.445,10.18847512,3393.959523,11.589328,0.7,1503,51282.71563,,53.16474662,1.92,0.032,0.136,2.088,186.5475788,,91.95402299,1.177001127,13.12862012,0.253041739,271.4587802,,21.91,3.1,90,75.6,96.7,,,,84,,,0.5950653,
21,Bosnia and Herzegovina,5121,1828.006,1679.011,65.4466901,5155.552675,5.601858,0.767,1019,11188.93638,,868.977555,,0.0718,0.3608,,,,,2.662018592,,,45.82621452,,,3.6,99.9,100,99.7,,5.1,464510009.8,41,14.69375947,17.20115117,2.9124,
22,Botswana,58173,717.29,1574.371,3.790555756,7595.147598,1.989855,0.724,430.4,5550.819018,1,503.2493152,0.069,0.0234,0.1006,0.193,87.52516915,,35.75129534,2.018195127,71.36955646,0.085727051,190.8515472,,,2.1,96.2,92.3,99.2,,32.3,68860000.61,32,33.76498732,4.365895341,1.109705,
23,Brazil,851577,28654.406,180633.872,24.40575814,9812.31098,4.634706,0.76,1934,41605.35506,,3370.172813,39.43,9.511,16.74,65.681,316.0265209,,60.03258172,3.105437352,22.0105277,0.290401779,30.62953569,2.020008819,15,3.1,98.1,87,100,,12.4,290230011,,21.00919373,9.251608036,700.4359,
24,Brunei Darussalam,577,97.263,331.434,73.56551127,28290.76622,1.086451,0.843,3564,20024.83079,,106.0444363,0.0053,,0.1515,0.092,216.739345,,5.760869565,3.466465712,,3.954019129,,,,2.3,,,,,9.6,,48,22.61652261,5.208811752,0.045013,
25,Bulgaria,11100,1794.614,5289.957,63.98598198,8321.113046,4.036052,0.813,543.3,2998.967679,,917.7685878,0.8345,3.942,0.882,5.6585,796.6975875,,14.74772466,41.82127282,7.930078984,0.092003904,2.727198563,,,3.2,99.4,99,99.6,,5.6,,30,14.68537892,21.25296727,6.5184,
26,Burkina Faso,27422,13676.652,5516.73,69.99210123,738.274757,21.334727,0.429,759,703.3728657,4.75,278.0965274,0.4207,0.0217,0.3756,0.818,42.61918549,,51.43031785,7.807839388,11.14139593,0.056650576,146.8388122,,,3.3,82.3,75.8,97.5,6172,53.9,1148810059,16,44.67782155,2.407287537,5.337571725,
27,Burundi,2783,9483.827,1380.418,389.0412864,296.110481,37.279454,0.421,997.8,1157.844094,,,0.222,0.015,0.0431,0.2801,25.87046351,,79.25740807,10.19286754,6.142078443,0.052767983,32.04312391,,,3.3,75.9,73.8,91.1,,39.9,588940002.4,,45.40064767,2.312095315,,
28,Cabo Verde,403,189.808,356.58,133.3741935,3239.065521,6.73869,0.647,144,558.1416117,0.065,0,0.025,0.0004,0.0016,0.027,50.23274505,,92.59259259,8.433333333,51.27383291,0.311356749,680.2347444,0,,,91.7,87.3,94,,12.8,152539993.3,20,28.40644803,4.698373444,0,
29,Cambodia,18104,12327.338,3678.035,88.43023089,1385.609732,23.36144,0.578,2348,29738.76175,,0.062463268,2.053,0.033,0.098,2.184,136.4197766,,94.0018315,1.036544851,6.999746947,0.339720711,189.7418656,,,3.9,75.5,69.1,100,507,22.8,984070007.3,34,31.09919594,4.717769196,0.001,
30,Cameroon,47544,10637.19,13416.537,51.67018551,1455.460927,14.372215,0.56,1694,11526.05872,,635.4545556,0.737,0.1046,0.2468,1.0884,44.30500553,,67.71407571,1.560430108,23.85536394,0.043450843,76.58152594,,,2.2,75.6,52.7,94.8,,50.2,1335219971,37,42.36213102,2.723649908,15.610623,
31,Canada,987975,6830.253,29793.946,3.717917457,45057.28723,1.772015,0.921,693.6,79004.47824,,22909.27593,2.639,28.07,4.888,35.597,969.0980054,10.3,7.413546085,3.679711638,41.6896946,0.39590758,12.97076728,,,1.9,99.8,99,100,,4.2,,115,15.84589974,17.64789689,841.5057,
32,Central African Republic,62298,2749.797,1909.283,7.377480818,428.701433,30.993355,0.376,1331,30678.69765,,,0.0004,0.012,0.0601,0.0725,15.77450766,,0.551724138,0.335648148,16.83252092,0.117386824,37.16369748,,,2.3,68.5,54.4,89.6,,81,753849975.6,31,43.92001576,2.81479015,,
33,Chad,128400,11494.121,3405.873,11.6952905,697.585531,34.045337,0.401,648.2,3043.267742,,,0.6722,0.1037,0.1037,0.8796,58.57458,,76.4211005,4.294921875,8.359339149,0.039689259,21.41510026,,,3,50.8,44.8,71.8,,69.1,707049987.8,14,46.82094474,2.491641623,,
34,Chile,75609.6,2258.558,15796.168,24.42869556,15383.58771,3.874239,0.845,2483,49974.98977,,715.5130422,29.42,4.744,1.267,35.431,1918.254352,0.974,83.03463069,8.982121089,6.408561684,0.248363934,14.10077269,1.288106236,33.6,2.5,99,93.3,99.7,,6,,17,19.49427286,11.88154013,13.21584,
35,China,960001.08,597816.52,843314.783,151.3149594,8843.579277,7.63339,0.753,1049,1955.23244,,571.6959714,385.2,133.5,79.4,598.1,411.7373028,62.46,64.40394583,43.22168826,20.98816234,2.05020545,38.88231194,6.393651744,6700,3.5,95.5,93,97.5,,6.8,-589979980.5,31,17.80450834,11.47219302,830.46,
36,Colombia,114174.9,9594.518,39471.097,42.83764558,6354.5494,6.387892,0.76,2862,48252.05006,,230.6760814,6.391,3.73,3.49,13.611,278.287565,0.608,46.95466902,2.036213427,19.03005579,0.423221049,19.19357697,2.538622676,300,3.7,91.4,73.8,96.8,7.089,11.8,902539978,83,22.62078466,8.765830007,11.28233,
37,Comoros,186.1,579.639,234.273,437.3412144,1308.519021,31.482424,0.539,2304,1474.397094,1.02,,0.0047,0.0005,0.0048,0.01,12.28664245,,47,0.833333333,69.46334888,0.092065402,248.1332853,,,1.6,90.1,89.1,92.6,,48.3,78239997.86,,39.28587378,3.055403427,,
38,Congo,34200,1764.522,3496.228,14.94355263,2086.959331,8.772373,0.609,1653,162795.8624,,1.761012935,0.004,0.024,0.0637,0.0917,17.94276512,,4.362050164,0.027446301,97.19945835,0.228561359,167.62043,,,1.7,76.5,40,95.8,175.2,,,29,,,0.009,
39,Cook Islands,24,4.374,13.006,72.94583333,19885.44277,2.921271,,,0,,,,,,,,,,,,,,,,,99.9,99.9,99.9,,,,,,,,
40,Costa Rica,5110,1051.813,3853.956,96.86798434,11858.39574,5.013779,0.792,2865,22828.49497,,403.3714253,2.302,0.24,0.652,3.194,645.2585216,0.099,72.07263619,5.450511945,16.38459045,0.404656109,40.08142843,14.14398595,,3.1,97.8,91.9,99.6,315.9,7.5,59759998.32,36,21.0786358,9.880435323,1.99667,
41,Cote d'Ivoire,32246,12068.187,12226.563,75.7845004,1570.209076,21.575709,0.512,1187,3443.07328,39,1524.04893,0.6,0.242,0.32,1.162,47.5499305,,51.63511188,5.087565674,23.16732202,0.216760654,36.58884034,,,2.3,81.9,68.8,93.1,1423,,,,,,,
42,Croatia,5722,1815.373,2373.98,73.10131073,13204.75154,2.935786,0.835,824.2,25221.9954,,229.9863467,0.076,0.184,0.455,0.715,170.9357982,,10.62937063,1.495998221,58.96846744,0.647232231,49.95287755,,,3,99.6,99.7,99.6,,4.1,,67,14.56222109,20.86013523,0.962,
43,Cuba,10747,2644.108,8840.528,105.5108775,8433.092699,3.800684,0.777,1103,3361.773182,24,499.3392863,4.519,0.74,1.7,6.959,613.7088031,,64.93749102,23.93944607,12.33314138,0.197943337,27.52399039,9.20202304,400,3,94.9,89.8,96.4,1033,3.8,499660003.7,23,16.04234991,15.56495916,5.662135,
44,Cyprus,925,391.192,788.359,127.5327568,26473.00761,2.020489,0.871,344.3,661.1973776,0.54,282.8788873,0.184,0.017,0.11,0.311,263.6312621,0.054,59.16398714,29.52433024,60.41558311,0.758347712,121.8310345,,,0,100,100,100,,1.8,,55,16.70708967,14.04826565,0.333706,
45,Czechia,7887,2795.276,7823.027,134.9186509,20334.09153,2.057569,0.888,707.1,1235.782162,,299.2472348,0.0466,0.9672,0.6166,1.6304,153.2181929,1.386,2.858194308,24.78710462,107.4473576,1.220257875,60.91825643,,,3.2,100,100,100,,,,16,,,3.1843,
46,Democratic People's Republic of Korea,12054,9768.556,15722.409,210.965862,684.600808,22.825973,,,3033.839203,,834.7035813,6.61,1.145,0.9028,8.6578,340.4584971,,76.34733997,27.7404678,1.739039425,0.371973227,5.768086691,,,3,99.7,99.4,99.9,,,,16,,,21.226366,
47,Democratic Republic of the Congo,234486,45647.604,35692.384,34.7136989,462.779322,19.893042,0.456,1571,15761.91009,,0.649493892,0.0719,0.1468,0.4649,0.6836,8.398161918,,10.51784669,0.226883505,44.61334042,0.199548416,104.254882,0.029323308,,1.9,52.4,31.2,81.1,,,,,,,0.052868,
48,Denmark,4093,701.971,5031.58,140.0506719,57454.28922,1.42793,0.929,694,1046.705025,2,3.48901675,0.3267,0.0329,0.3815,0.7411,129.2855157,0.795,44.08311969,20.04056247,368.6129021,2.202085382,1807.129434,,,0,100,100,100,,3.2,,37,16.40095872,19.96525913,0.02,
49,Djibouti,2320,213.906,743.079,40.69392241,2891.234525,1.428002,0.492,107.4,317.7632854,,,0.003,0,0.016,0.019,20.12500808,,15.78947368,6.333333333,,13.0777471,,,,2.9,90,64.7,97.4,,48.4,272480011,17,29.20497966,4.609063643,,
50,Dominica,75,22.044,51.881,95.27733333,7031.951803,13.449372,0.723,,2798.846875,,,0.001,0,0.019,0.02,279.8846875,,5,10,,0.004059697,,,,3.6,94.4,91.8,95.7,,30.9,51389999.39,29,,,,
51,Dominican Republic,4867,2123.575,8643.423,216.0078899,7059.653433,5.6675,0.741,820.9,2235.305577,2.469,215.5119934,7.563,0.6599,0.855,9.0779,863.4842764,,83.31221979,50.30979827,7.506169335,0.205185022,28.85673806,,50.34,3.7,84.7,81.9,85.4,,23.5,134440002.4,83,27.7086939,7.298389658,2.2657,
52,Ecuador,25637,6039.811,10585.047,65.47318719,6273.488892,9.329259,0.757,2575,26356.2994,,458.2445382,8.076,0.549,1.293,9.918,590.8720104,,81.4277072,6.782352941,9.028908108,0.676427587,56.27330857,2.111607143,,3.2,86.9,75.5,93.4,8.57,12,525049987.8,38,27.70696817,7.372199367,7.6918,
53,Egypt,100145,55893.406,41659.745,96.30295172,2000.297246,11.485285,0.696,106.6,596.2096145,49.7,1744.009076,61.35,5.4,10.75,77.5,803.5868717,4.745,79.16129032,116.9398907,4.379320712,0.646655587,20.14163611,80.990527,900,2.5,99.4,99,100,,,,15,,,168.196754,
54,El Salvador,2104,1832.049,4545.804,303.6181559,3908.521206,5.042074,0.665,1434,4112.317133,,607.2203335,1.431,0.213,0.474,2.118,331.5526337,,67.56373938,13.21272614,9.990202639,0.043892912,25.01515916,0.858369099,,3.8,93.8,86.5,97.5,12,11.4,305640014.6,26,26.85844526,8.469582569,3.879,
55,Equatorial Guinea,2805,359.435,908.254,44.99115865,9874.401949,2.287455,0.59,2447,20602.18605,,,0.001,0.003,0.0158,0.0198,15.68935707,,5.050505051,0.183503244,,,2136.603056,,,0,47.9,31.5,72.5,,60.4,64069999.69,,36.95679749,2.424508808,,
56,Eritrea,11760,3069.11,1999.721,29.02119898,1169.565874,17.461341,0.431,333,2143.342906,,12.92451888,0.55,0.001,0.031,0.582,170.5298115,,94.50171821,11.17511521,6.872905433,0.031105156,1051.063947,,,2.5,57.8,53.3,73.2,,30.5,276929992.7,,,,0.04411,
57,Estonia,4534,409.687,899.945,29.09991178,20508.89185,2.370887,0.879,621.4,9706.0005,,138.3214971,0.0045,1.721,0.0594,1.7849,1352.822138,0.445,0.252114964,19.30735931,11.82182494,0.110995472,2.966044938,106.4534884,,1.1,99.6,99,100,,1.9,,134,16.46326928,19.99180778,0.1825,
58,Eswatini,1736,1044.238,323.016,64.79291475,3251.938239,8.342751,0.603,648,4009.583883,,520.0812585,1.006,0.0207,0.0413,1.068,949.497913,,94.19475655,77.55991285,3.532410671,0.107163781,66.15353018,,,3.1,74.1,68.9,93.6,2.926,38.6,73400001.53,39,37.83143024,4.014789266,0.58499,
59,Ethiopia,110430,83640.582,21316.856,96.35056054,731.580209,33.78356,0.467,1073,1146.61736,53,295.902467,9.687,0.0511,0.81,10.5481,99.13634901,,91.83644448,32.25718654,4.317547931,0.08261782,331.9869228,,,3.2,57.3,48.6,93.1,,36.5,4809970215,40,40.33644118,3.516690455,31.484,
60,Faroe Islands,139.6,28.63,20.66,34.62106017,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Fiji,1827,400.76,504.742,48.02731253,5912.155229,10.531828,0.721,2376,32537.13279,,151.6150612,0.05,0.0096,0.0253,0.0849,96.75665758,,58.89281508,0.29737303,40.94970719,0.299503669,72.27030711,,,,95.7,91.2,99.5,,21.7,139070007.3,31,29.2936818,5.624229594,0.133036,
62,Finland,33845,810.547,4712.684,16.28415128,46180.40861,2.321235,0.924,518.3,19958.73622,3,3375.385181,0.05,1.417,0.4,1.867,338.7541866,,2.678093198,15.56082523,111.8047093,0.364372214,38.04234507,,,0.2,100,100,100,,1.9,,27,16.01634155,22.14064462,18.603,
63,France,54908.7,12879.012,52100.536,118.0915028,38566.56609,1.551766,0.89,818,3254.03818,100,153.9314279,3.113,18.15,5.175,26.438,407.7263574,4.95,11.77471821,23.14278211,83.62451756,1.636543645,20.9417578,,,2.5,100,100,100,,3.8,,39,17.80215787,20.39137028,9.9813,
64,Gabon,26767,223.245,1801.892,7.714062091,7372.081131,5.264797,0.7,1842,80394.30014,,106.5466628,0.0403,0.0141,0.0847,0.1391,67.36654909,,28.97196262,0.502166065,94.78987071,0.236123165,462.6100896,,,0.7,93.2,66.7,97.2,,31.1,116709999.1,39,37.1795456,3.544727257,0.22,
65,Gambia,1130,827.654,1272.914,195.9193805,716.451019,21.001895,0.459,598.4,3613.550634,,,0.0392,0.0212,0.0412,0.1016,45.89209305,,38.58267717,2.209656372,10.36088055,0.060025871,11.38765256,,,1.5,90.2,84.4,94.2,,,,61,,,,
66,Georgia,6970,1634.019,2278.042,57.5138594,4151.94766,6.240133,0.783,1140,15798.07599,,851.6193215,1.060819084,0.402206288,0.359974628,1.823,454.75908,,58.19084391,5.938110749,7.350328656,0.391925758,7.025717116,37.0278777,113.6,3.6,100,100,100,,8.5,496730011,27,20.03142542,15.06105563,3.4139,
67,Germany,35725,18672.1,63442.124,231.374133,44642.74205,0.831436,0.938,835.5,1863.089332,101,48.3919307,0.2997,19.75,4.388,24.4377,295.6468712,,1.226383825,33.50191886,128.5673392,3.351689352,44.44991706,,,2.9,100,100,100,,3.2,,36,13.79948848,21.56299232,4,
68,Ghana,23854,12857.864,15975.765,122.0821036,2046.043362,19.696155,0.591,1112,1929.847966,,5099.481431,1.07,0.095,0.2996,1.4646,50.29279949,,73.0574901,6.314734089,27.57753458,0.141836704,162.9373773,,1.48,3,88.7,84,92.6,,33.9,936320007.3,47,37.36487213,3.097322178,148.50437,
69,Greece,13196,2374.332,8785.441,80.09586238,18243.10246,3.702882,0.871,597.8,6471.481487,29,1165.812791,9.041,0.2083,1.991,11.2403,1063.470663,0.846,80.43379625,22.73922719,15.18615178,0.440354661,114.1795652,,,2.4,100,100,100,,3.3,,40,13.89659859,21.94147013,12.322,
70,Grenade,34,68.831,38.994,326.1,10439.93149,5.37153,0.76,,1803.849415,,0.198423436,0.0021,0,0.012,0.0141,127.1713837,,14.89361702,7.05,,2.461727322,,,,,96.6,95.3,99,,,,,,,0.000022,
71,Guatemala,10889,8341.671,8571.832,155.3399761,4470.96539,10.058168,0.649,2216,7561.940695,,27.42187004,1.886,0.6031,0.835,3.3241,196.5182321,,56.73716194,5.742097081,18.36791412,1.065568634,25.6713835,0.058679707,5,3.5,92.8,86.8,98.4,1880,20.7,393850006.1,21,33.85933214,4.928984331,0.463840109,
72,Guinea,24586,8165.321,4551.855,49.08288864,779.651277,17.833962,0.463,1638,18727.95891,204,152.2268165,0.2929,0.0562,0.2248,0.5739,47.55741425,,51.03676599,0.883076923,14.23062328,0.069143598,61.1097434,0.532631579,,1.1,76.8,67.4,92.7,,63.8,580679992.7,104,43.44998914,2.94190559,1.837,
73,Guinea-Bissau,3613,1061.947,799.336,50.59908663,725.401249,49.157808,0.46,1223,17175.88047,0.35,0,0.144,0.0119,0.0341,0.19,103.9304869,,75.78947368,1.495726496,2.891567776,0.110060119,11.85644916,,,1,79.3,60.3,98.8,,52.3,120510002.1,59,42.15366371,2.863260455,0,
74,Guyana,21497,571.434,206.425,3.60618691,4570.504571,13.206888,0.668,2177,349577.2824,,1043.765528,1.363,0.0204,0.0613,1.4447,1863.595202,,94.34484668,3.298401827,1.929147117,0.169910083,51.18752206,31.93617021,,2.4,98.3,98.3,98.2,,24.4,113269996.6,27,27.92993053,6.711584305,0.80915,
75,Haiti,2775,5013.421,5967.808,395.7609369,775.972532,18.266091,0.501,1226,1276.774058,,27.04335295,1.209,0.051,0.19,1.45,132.0298377,,83.37931034,13.38379177,4.893885794,0.204239856,51.51874432,,,3.9,57.7,47.6,64.9,,48.2,726469970.7,30,32.8585874,5.063669546,0.297,
76,Holy See,,0,0.792,,,,,,0,,,,,,,,,,,,,,,,2.9,,,,,,,,,,,
77,Honduras,11249,4034.31,5230.757,83.82089964,2493.320528,12.844979,0.621,1618,9774.511924,,615.616502,1.178,0.114,0.315,1.607,170.4314121,,73.30429372,4.621268764,11.98979354,0.205350533,47.24389991,3.604651163,,3.6,91.2,83.8,97.4,,14.5,457570007.3,86,31.15942483,4.828189524,5.804656,
78,Hungary,9303,2813.212,6908.347,104.5880146,14556.36725,3.798119,0.841,587.5,10688.78642,,26.35196961,0.5186,3.358,0.6245,4.5011,462.6086209,,11.52162805,7.77029361,23.88020301,0.331686268,9.231306152,,,3.5,100,100,100,,3,,50,14.43321973,19.69445761,0.2564,
79,Iceland,10300,20.862,314.163,3.246533981,73108.08321,3.706134,0.935,923.4,508383.8477,6,6896.376419,0.0003,0.198,0.08,0.2783,832.2542637,,0.107797341,0.394075282,58.33898906,0.702832207,15.29440188,,,0.1,100,100,100,,1.6,,6,19.64717091,15.19212107,2.3061,
80,India,328725.9,889216.746,449963.381,407.2319172,1960.222536,15.619457,0.643,1502,1427.45435,1088.7,184.8561634,688,17,56,761,568.4717988,4.573,90.40735874,66.49209283,2.820582855,0.408851817,35.16701869,3.42257602,3300,3.9,94.1,92.6,97.1,44000,28.3,2610580078,30,26.61826465,6.377924156,247.4626545,
81,Indonesia,197952.9,119696.518,144294.861,133.6939055,3846.426581,13.154171,0.704,2929,7627.78256,2430,90.68826249,189.7,9.135,23.8,222.635,841.2400903,0.301,85.2067285,29.69654528,3.745190995,0.23915298,39.64564048,6.530214425,400,3.1,87.4,79.5,94.2,5.111,20.2,-629950012.2,29,26.21511948,6.050302682,24.000736,
82,Iran (Islamic Republic of),174515,20782.6,60380.188,46.22747787,5679.648509,9.499745,0.799,207.1,1698.75299,,550.8820246,86,1.1,6.2,93.3,1156.508111,0.885,92.17577706,81.28908129,4.773850191,0.374489768,129.2750653,9.152151484,2100,3.2,96.2,92.1,97.7,,,,43,,,44.441792,
