Country Name,Indicator Name,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Canada,Net official development assistance and official aid received (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Europe and the Baltics,Net official development assistance and official aid received (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,Net official development assistance and official aid received (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,Net official development assistance and official aid received (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,Net official development assistance and official aid received (current US$),178720001.2,155199996.9,160740005.5,196600006.1,130729995.7,107559997.6,71180000.31,50540000.92,55860000.61,-7070000.172,80330001.83,54110000.61,170750000,98889999.39,106260002.1,102940002.4,75959999.08,181910003.7,161199996.9,128080001.8,80559997.56,245580001.8,54330001.83,178440002.4,70309997.56,,
China,Net official development assistance and official aid received (current US$),3202379883,3132290039,3463699951,2655899902,2060830078,2456879883,2407000000,1749020020,1497660034,1511520020,1361550049,1709949951,1798339966,1268520020,1453219971,1305540039,1141390015,671890014.6,-603609985.4,-180529998.8,-656549987.8,-947070007.3,-306290008.5,-791429992.7,-989940002.4,-705450012.2,-589979980.5
Cote d'Ivoire,Net official development assistance and official aid received (current US$),763630004.9,1593699951,1212439941,964770019.5,447000000,967270019.5,447779998.8,350920013.4,186080001.8,1067500000,253699996.9,160710006.7,91279998.78,247139999.4,171080001.8,584630004.9,2403010010,845309997.6,1437709961,2908350098,1273459961,925039978,651669982.9,615789978,829159973.1,960010009.8,1201229980
Cameroon,Net official development assistance and official aid received (current US$),543719970.7,731409973.1,443989990.2,411380004.9,500059997.6,498690002.4,434480011,377160003.7,458089996.3,605739990.2,885619995.1,780739990.2,416540008.5,1716239990,1939900024,551789978,643789978,540229980.5,612080017.1,597169982.9,751960022,856119995.1,664119995.1,756609985.4,1216839966,1165339966,1335219971
"Congo, Dem. Rep.",Net official development assistance and official aid received (current US$),177820007.3,244809997.6,194750000,166160003.7,157880004.9,127019996.6,135509994.5,178440002.4,246639999.4,1176170044,5417029785,1919150024,1881800049,2197239990,1348270020,1766900024,2362350098,3483649902,5526459961,2846169922,2584010010,2400020020,2599040039,2102330078,2292639893,2513929932,3025530029
"Congo, Rep.",Net official development assistance and official aid received (current US$),124360000.6,363850006.1,126860000.6,431290008.5,268670013.4,64989997.86,140539993.3,32150001.53,73889999.39,57130001.07,69279998.78,115809997.6,1425550049,258299987.8,116319999.7,486630004.9,283970001.2,1315089966,261239990.2,140130004.9,150990005.5,106180000.3,88800003.05,87050003.05,107040000.9,146570007.3,187270004.3
Colombia,Net official development assistance and official aid received (current US$),106250000,91959999.08,181750000,195059997.6,190779998.8,179309997.6,318380004.9,202369995.1,399920013.4,458260009.8,816000000,536030029.3,643070007.3,1004739990,741770019.5,979289978,1059280029,673090026.9,1013590027,764250000,857489990.2,1224170044,1355920044,1106500000,850419982.9,1781020020,902539978
Comoros,Net official development assistance and official aid received (current US$),48619998.93,38700000.76,41599998.47,39200000.76,30200000.76,40619998.93,22090000.15,19309999.47,27670000.08,27579999.92,24610000.61,25879999.16,23139999.39,32000000,45049999.24,42040000.92,50779998.78,69910003.66,55349998.47,101610000.6,81230003.36,74949996.95,65779998.78,53750000,67220001.22,90940002.44,78239997.86
Cabo Verde,Net official development assistance and official aid received (current US$),114959999.1,119669998.2,115730003.4,116459999.1,111010002.1,129770004.3,136970001.2,94650001.53,78059997.56,92500000,145330001.8,143779998.8,162869995.1,139110000.6,166050003.1,221880004.9,196770004.3,326980011,251369995.1,245639999.4,245160003.7,231389999.4,153250000,115239997.9,123010002.1,84279998.78,152539993.3
