,Area,Agricultural water withdrawal,"Agriculture, value added (% GDP)_x","Agriculture, value added (% GDP)_y",GDP per capita,Industrial water withdrawal,National Rainfall Index (NRI),Population density,SDG 6.4.2. Water Stress,Total renewable water resources per capita,Total population with access to safe drinking-water (JMP),Poplulation ages 65 and above,latitude
22,Ukraine,,0.0038203196105726454,0.17973355327563176,0.04034442607368426,0.013308519786471441,0.6191447320419626,0.05512539129897874,0.0031348871877033926,0.020290375361402015,0.7622241426660158,0.4508863647187833,0.8433485699063986
23,Brazil,,0.05741827256483035,0.16236458799375944,0.1253250895201336,0.07210179537335465,0.6462269550279757,0.02063727960016842,0.0029848946442948376,0.0799882145013133,0.8413525859223616,0.33928218502561525,0.251886151721506
24,Gambia,,0.001771226533406147,0.34489469415267093,0.004879535618361599,0.010258907335378759,0.17964796606428302,0.17408931408495223,0.0028126177212659965,0.01223861449591376,0.7688933456622459,0.0816955502890532,0.513337432944437
25,Netherlands,,0.0016968200825829313,0.15671486795870784,0.6499951051296565,0.09405838590438986,0.3139660702236787,0.37003838008971135,0.006164598892299793,0.02219802319524394,0.8196316947132629,0.06469345552753074,0.8788017044558238
26,Indonesia,,0.29707665110179415,0.2260486139488584,0.03995587426463996,0.11686275311800422,1.0,0.12107173053706884,0.009838363354494051,0.023774389046612606,0.7371119604735699,0.07581755295271578,0.3788956932357362
27,Rwanda,,0.001840166630536532,0.3620619538202661,0.005755249871903528,0.010228554622711787,0.3595241893571586,0.39115849111493867,0.0035797558334167145,0.012703377657388598,0.5863179297503874,0.4392395439812991,0.3680232223132197
28,Turkmenistan,,0.037714686905678585,0.23264398484818977,0.09434988274961455,0.0169102095528715,0.005676919893884534,0.008755353304303682,0.035413566102665675,0.019235618093748668,0.3044452115021693,0.25299833650200776,0.7544635224349802
29,Guatemala,,0.004428388528980892,0.18502264377517055,0.04337236299615005,0.014515030736248585,0.7320502171271799,0.13725809838151615,0.0035877786591592595,0.021094195256768457,0.8071499298310165,0.6831603258525522,0.5354441607463182
30,United Kingdom,,0.0031048149310081976,0.14845008185607925,0.5912266079384425,0.0,0.38240211354433284,0.22434444739689355,0.004821503100619445,0.01591249017304824,0.8196316947132629,0.47590435239821394,0.9094590497025893
31,Denmark,,0.0018252978463303294,0.14860479197244353,0.7594859236168328,0.010346724463031772,0.23764519079737959,0.11169364335700883,0.00456430619421744,0.013353535147886635,0.8196316947132629,0.23059525492618202,0.9178264126419161
32,Myanmar,,0.04083372050155191,0.43691092614301635,0.010656187996340808,0.013762682678126536,0.7820539048579349,0.06977594037101018,0.0035070817281360484,0.050185953287194975,0.6952423664458758,0.5313960772286286,0.5933535291133788
33,Switzerland,,0.0019989245427366347,0.14734402557457324,1.0,0.013577491917838696,0.5534248224664475,0.17029366892824258,0.003665892939546945,0.02447473124734768,0.8196316947132629,0.019558541617718715,0.8286013052632771
34,Suriname,,0.002278641642670076,0.2794582096231024,0.07666008687970793,0.011113765553910977,0.5826821013442066,0.0013325520538654825,0.0031232948363740754,0.33471492121759305,0.7985734405982374,0.07881361486853804,0.42337363987844745
35,Guinea,,0.0018710163195270765,0.31325462177024344,0.006551378573373572,0.010487228403867899,0.5393927136370136,0.041948438934766186,0.0023365776280767545,0.034323939240058776,0.6305508454291939,0.14418434349959633,0.48029872373627597
