,Area,Agricultural water withdrawal,"Agriculture, value added (% GDP)",GDP per capita,Industrial water withdrawal,National Rainfall Index (NRI),Population density,SDG 6.4.2. Water Stress,Total renewable water resources per capita,Total population with access to safe drinking-water (JMP),Poplulation ages 65 and above,latitude
17,Netherlands,0.006326106550908311,0.32507608052041637,0.6485792980830006,0.12077662360224406,0.34519282625664227,0.32324129983777394,0.008442552510886926,0.2988699165009248,0.5274186511125923,0.3656283311268104,0.8788017044558238
18,Albania,0.007038257192955211,0.2975676571903828,0.05017310854720116,0.03629620745136311,0.3599275594576308,0.0711327401500853,0.006598451460540904,0.3083882524208593,0.4744930764461386,0.4421206558111096,0.7750900450295994
19,Mauritania,0.00774214059824917,0.32816176592585433,0.012962702103767758,0.035043308347302383,0.08114993072362803,0.002161215908618539,0.007562615344098042,0.28657716834214636,0.49810549521207437,0.45228583409915807,0.584794410170814
20,Zambia,0.007369983699560129,0.3471632311698639,0.01504788927781019,0.03549522956360968,0.35733528927380254,0.019181067894085236,0.0060809912941339455,0.27984236054125516,0.4186166670493942,0.44926953476243925,0.26228726182818096
21,Kyrgyzstan,0.00895135923240253,0.1944376505626603,0.016317748743935573,0.03638487979342604,0.1249322820177984,0.0241430333749849,0.008605293902009878,0.29449770822760185,0.6306289755895935,0.523159665018221,0.7755727411756815
22,Niger,0.009307591970001793,0.4979161364683668,0.0025045413921640984,0.03506340005492053,0.11029739346326478,0.01432902918035262,0.007534920529738545,0.28557551005885823,0.446035318161983,0.4647594713261589,0.552676696544708
23,Bangladesh,0.038377649523456535,0.28744190679307524,0.01225341077194228,0.04034727253383287,0.7104201559726347,1.0,0.006527157977126168,0.28935191017583395,0.6225802007026907,0.46222104768532996,0.6100825873269119
24,Senegal,0.009850016159020784,0.3557367075657352,0.012192902766362977,0.03519906990600611,0.157185786128447,0.07139086433549098,0.008277313109176357,0.28688948676687215,0.5475118837118517,0.44266310007459125,0.5232955205608721
25,Germany,0.004637452534774097,0.3245125258101002,0.5649267366930032,0.0,0.32058405058570927,0.14989735439826238,0.004710471681711549,0.2940875988189897,0.5274186511125923,0.4614799600329352,0.8696682621143981
26,Viet Nam,0.13599004936906586,0.2616661791175525,0.02348171399809797,0.04923266925219614,0.8036176411968097,0.24995589830441792,0.009674371228375592,0.2947281902701857,0.8925643557535525,0.5325646512907082,0.5191477343036376
27,Tajikistan,0.016021518940130465,0.383497388177189,0.011350728771316291,0.035475405357643895,0.036505754539013516,0.056215530610444576,0.01311281183142232,0.29154352130148153,0.5574207178450948,0.519380558590749,0.7534367304373453
28,Venezuela (Bolivarian Republic of),0.03810235344088591,0.34961882310375425,0.10673667292200188,0.03892741697746036,0.6073013345739083,0.028996054040110547,0.007559677892891481,0.28474875858861914,0.5156956851218226,0.4552044823955806,0.4470314187015946
29,Cyprus,0.0066843897762587185,0.28655040755061567,0.38888317961979446,0.03498885293200591,0.07310488514804447,0.11071147692242166,0.010243613831863197,0.2908982174608249,0.5274186511125923,0.2626044252914169,0.7181592935066504
30,Saudi Arabia,0.03047689211929314,0.34763542895580785,0.22078649320957291,0.04281692990636232,0.026845545090756363,0.013455374447773833,0.17113150335964458,0.2903749331159618,0.564344271706434,0.36086705635263644,0.6119803105313719
31,Denmark,0.006339866997428167,0.31706742988536596,0.7571959218224271,0.0348260193478688,0.26294174862662856,0.09260950287244707,0.005446726665927495,0.2924552774023494,0.5274186511125923,0.4801281844625582,0.9178264126419161
32,Malawi,0.008006586108094533,0.3341065884080176,0.0014890539138960267,0.035188270408539835,0.3700483044308975,0.13776879198818232,0.008832604191881322,0.2890256113171079,0.965393712540476,0.3650224703682089,0.26114995036069966
33,Chad,0.007860778527274018,0.4394443616727954,0.009193994237581606,0.03576733503711227,0.22556754874736776,0.009424388867162008,0.006935431050024297,0.28256698042000195,0.23467747491216379,0.44241798779244496,0.5323335572061056
34,Thailand,0.058922138884053184,0.3023144760493632,0.07612997505204633,0.052638263199467586,0.6366030827631796,0.11120697961891213,0.008838103644476148,0.2966751022502829,0.6294004179392381,0.42015497227145226,0.5362612491345002
35,Slovakia,0.0064409562879382265,0.34419161340433946,0.3236371128068384,0.032299583789083396,0.2817778551456952,0.06912596680016052,0.005300633288169964,0.30839739777248115,0.5304326360024807,0.43183114644593074,0.8460841629378153
36,Burkina Faso,0.007136157847584528,0.4374248691583723,0.006704053137426598,0.035114062390560315,0.2638858122635409,0.06316273635964659,0.007757602375857123,0.28951937049409626,0.8582451144740176,0.5012350396217543,0.5019558167719436
37,Central African Republic,0.006482962630255314,0.5402113478335744,0.0018750900491471575,0.034992762531020745,0.43609516271740023,0.005370597322765055,0.005849748695640495,0.2785706843042004,0.38127769995637006,0.39911584503024616,0.44880067482999364
