Country Name,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Belarus,Net official development assistance and official aid received (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187029998.8,272739990.2,186009994.5,119019996.6,222720001.2,76569999.69,56529998.78,40450000.76,39720001.22,35959999.08,40549999.24,39450000.76,45979999.54,49939998.63,58009998.32,74760002.14,85430000.31,111139999.4,98220001.22,136259994.5,119800003.1,102870002.7,107139999.4,120610000.6,104580001.8,-22309999.47,-250169998.2,119099998.5,214229995.7,
Belize,Net official development assistance and official aid received (current US$),1820000.052,2819999.933,5519999.981,4059999.943,1549999.952,2130000.114,2579999.924,5840000.153,5519999.981,6840000.153,5949999.809,5070000.172,4010000.229,4670000.076,6219999.79,8710000.038,11630000.11,9529999.733,18219999.31,20719999.31,14500000,11310000.42,12029999.73,15060000.42,13899999.62,21930000.31,24059999.47,23479999.54,25010000.23,28520000.46,30319999.69,21770000.46,26159999.85,31110000.61,32169998.17,18829999.92,21030000.69,13770000.46,14520000.46,47400001.53,16149999.62,22489999.77,23280000.69,12680000.31,6690000.057,11720000.27,7730000.019,21280000.69,23370000.84,26239999.77,24200000.76,20989999.77,26209999.08,51270000.46,37560001.37,28270000.46,34959999.08,34200000.76,33790000.92,37659999.85,
Bermuda,Net official development assistance and official aid received (current US$),,,,,9999.999776,50000.00075,59999.99866,59999.99866,39999.99911,9999.999776,9999.999776,,9999.999776,,29999.99933,19999.99955,29999.99933,79999.99821,159999.9964,150000.006,280000.0012,209999.9934,70000.0003,70000.0003,79999.99821,939999.9976,90000.00358,230000.0042,39999.99911,100000.0015,42189998.63,-4719999.79,-5000000,-4820000.172,-12479999.54,-2079999.924,-4070000.172,-8220000.267,550000.0119,79999.99821,59999.99866,19999.99955,19999.99955,29999.99933,90000.00358,,,,,,,,,,,,,,,,
Bolivia,Net official development assistance and official aid received (current US$),13319999.69,23370000.84,32680000.31,48099998.47,37880001.07,35369998.93,30040000.92,29959999.08,42020000.46,33270000.46,29780000.69,32020000.46,47720001.22,24090000.15,54000000,47400001.53,54849998.47,68169998.17,114919998.2,123580001.8,137940002.4,124970001.2,109500000,153070007.3,130809997.6,159199996.9,251279998.8,282070007.3,408559997.6,484279998.8,485040008.5,477809997.6,656890014.6,546619995.1,539099975.6,678820007.3,760099975.6,628289978,549390014.6,519809997.6,426079986.6,675960022,600330017.1,762630004.9,706659973.1,542880004.9,807599975.6,438790008.5,589159973.1,611690002.4,560270019.5,545969970.7,661719970.7,702299987.8,674559997.6,791309997.6,696510009.8,949159973.1,728849975.6,716130004.9,
Brazil,Net official development assistance and official aid received (current US$),39580001.83,290709991.5,179990005.5,185220001.2,235490005.5,234550003.1,320920013.4,180669998.2,219669998.2,139080001.8,136850006.1,120069999.7,94430000.31,65099998.47,129809997.6,132580001.8,92529998.78,67559997.56,89279998.78,87760002.14,83150001.53,227130004.9,177690002.4,106720001.2,153559997.6,84970001.22,147740005.5,293089996.3,218750000,232399993.9,174380004.9,196139999.4,-235589996.3,197520004.3,259869995.1,264329986.6,257799987.8,229789993.3,260609985.4,144380004.9,255679992.7,252020004.3,236410003.7,229300003.1,178279998.8,217240005.5,110199996.9,328589996.3,468630004.9,374809997.6,464779998.8,840690002.4,1288540039,1155729980,914150024.4,1003190002,674630004.9,273890014.6,444829986.6,290230011,
Barbados,Net official development assistance and official aid received (current US$),,,,,,,1600000.024,589999.9738,850000.0238,1299999.952,2319999.933,4570000.172,4699999.809,4639999.866,3589999.914,4320000.172,5789999.962,4679999.828,8880000.114,6400000.095,7110000.134,10550000.19,8560000.42,16309999.47,5699999.809,6050000.191,4510000.229,4750000,1830000.043,990000.0095,2279999.971,2319999.933,1279999.971,4980000.019,2900000.095,509999.9905,5730000.019,5840000.153,17180000.31,-589999.9738,1799999.952,319999.9928,4750000,21270000.46,30299999.24,-629999.9952,-889999.9857,18700000.76,9279999.733,11750000,15579999.92,,,,,,,,,,
Brunei Darussalam,Net official development assistance and official aid received (current US$),9999.999776,479999.9893,730000.0191,39999.99911,70000.0003,79999.99821,79999.99821,70000.0003,29999.99933,29999.99933,9999.999776,50000.00075,19999.99955,119999.9973,150000.006,140000.0006,109999.9994,79999.99821,100000.0015,90000.00358,29999.99933,189999.9976,270000.0107,439999.9976,810000.0024,1399999.976,2539999.962,3240000.01,4519999.981,4559999.943,3880000.114,3619999.886,5369999.886,5070000.172,5260000.229,4289999.962,3170000.076,379999.9952,330000.0131,1429999.948,629999.9952,349999.994,-1820000.052,469999.9988,769999.9809,,,,,,,,,,,,,,,,
Bhutan,Net official development assistance and official aid received (current US$),,,,9999.999776,9999.999776,159999.9964,50000.00075,9999.999776,140000.0006,100000.0015,209999.9934,140000.0006,189999.9976,519999.9809,610000.0143,2099999.905,3220000.029,2900000.095,3119999.886,4960000.038,8060000.42,9649999.619,11250000,12369999.89,16709999.08,20649999.62,36639999.39,36560001.37,35900001.53,37090000.15,41450000.76,55360000.61,52919998.17,61740001.68,72419998.17,69459999.08,57099998.47,59340000.15,52439998.63,65620002.75,47099998.47,54610000.61,60020000.46,72860000.61,72129997.25,78769996.64,92419998.17,95639999.39,79019996.64,101370002.7,97239997.86,118650001.5,161649993.9,136800003.1,130639999.4,97279998.78,51599998.47,118540000.9,107919998.2,181410003.7,
Botswana,Net official development assistance and official aid received (current US$),3430000.067,5460000.038,5239999.771,5329999.924,8869999.886,10300000.19,17879999.16,18260000.23,16739999.77,13359999.66,14199999.81,17649999.62,31409999.85,36069999.69,36450000.76,50939998.63,47380001.07,47250000,68769996.64,99410003.66,105269996.6,96470001.22,101139999.4,103120002.7,101930000.3,95620002.75,100660003.7,154839996.3,149800003.1,157940002.4,145220001.2,131070007.3,111260002.1,129899993.9,85180000.31,89660003.66,74569999.69,121620002.7,106250000,60889999.39,30620000.84,28930000.31,37310001.37,28049999.24,46610000.61,48270000.46,66610000.61,105069999.7,723099975.6,282350006.1,154669998.2,118500000,73069999.69,107370002.7,99370002.75,65540000.92,90569999.69,102089996.3,85750000,68860000.61,
Central African Republic,Net official development assistance and official aid received (current US$),29999.99933,419999.9869,1139999.986,1980000.019,16790000.92,15779999.73,15659999.85,20569999.69,17290000.92,19809999.47,14380000.11,15550000.19,25649999.62,25600000.38,36580001.83,54750000,38689998.63,44889999.39,50950000.76,83360000.61,110120002.7,101199996.9,89459999.08,92360000.61,131690002.4,103849998.5,135139999.4,180009994.5,204690002.4,188759994.5,248889999.4,173440002.4,177649993.9,171740005.5,167559997.6,167779998.8,169130004.9,91550003.05,120620002.7,118760002.1,75900001.53,76209999.08,60009998.32,51500000,110059997.6,88970001.22,133589996.3,180009994.5,260369995.1,241139999.4,260980011,268769989,228020004.3,202820007.3,611000000,486730011,506760009.8,511980011,656250000,753849975.6,
