,country,Total area of the country (excl. coastal water) (1000 ha),Rural population (1000 inhab),Urban population (1000 inhab),Population density (inhab/km2),GDP per capita (current US$/inhab),"Agriculture, value added (% GDP) (%)",Urban population with access to safe drinking-water (JMP) (%),Total renewable water resources per capita (m3/inhab/yr),Total population with access to safe drinking-water (JMP) (%),Municipal water withdrawal (km<sup>3</sup>/year or 10<sup>9</sup>m<sup>3</sup>/year),Rural population with access to safe drinking-water (JMP) (%),Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),Total water withdrawal (10^9 m3/yr),Agricultural water withdrawal as % of total water withdrawal (%),Agricultural water withdrawal (10^9 m3/year),Industrial water withdrawal (km<sup>3</sup>/year or 10<sup>9</sup>m<sup>3</sup>/year),SDG 6.4.2. Water Stress (%),Human Development Index (HDI) [highest = 1] (-),SDG 6.4.1. Irrigated Agriculture Water Use Efficiency (US$/m3),SDG 6.4.1. Industrial Water Use Efficiency (US$/m3),Flood occurrence (WRI) (-),SDG 6.4.1. Water Use Efficiency (US$/m3),Dam capacity per capita (m3/inhab),Resilience and securityStorage drought duration index(Total dam capacity_km3),nutrient security,National Rainfall Index (NRI) (mm/yr),"Mortality rate, infant (per 1,000 live births)",longitude,latitude,population ages0-14,Population ages 65 and above(-of total population),Net official development assistance and official aid received (current US$),% of total cultivated area drained (%),Total exploitable water resources (10^9 m3/yr)
152,Sweden,0.026153367,0.001432657,0.010221451,0.002538349,0.495351928,0.017171496,1,0.034554736,1,0.012007799,1,0.047740228,0.003113165,0.031742569,0.000109012,0.006413925,0.000882926,0.968965517,0.065834861,0.001619982,0.081632653,0.158804444,0.103557199,0.042731737,0.284518828,0.191201392,0.006297229,0.542639516,0.95432901,0.141132847,0.709318891,0.093940128,0.224223586,0.001234568
153,Norway,0.022514225,0.001081642,0.005130499,0.001481503,0.682344768,0.023625131,1,0.145957393,1,0.009744529,1,0.103106928,0.003528674,0.315575847,0.001228052,0.005107296,0.000524356,1,0.018906999,0.002148617,0.265306122,0.105312653,0.179237927,0.039548039,0.150627615,0.392751429,0.005037783,0.51369485,0.957576582,0.135467373,0.600328419,0.076707762,0.054238023,0.113168724
154,Finland,0.019779518,0.000911529,0.005568203,0.001800885,0.419273332,0.027798133,1,0.039259186,1,0.005017733,1,0.068161116,0.002445617,0.026919693,7.27E-05,0.006757272,0.004034149,0.95,0.006395211,0.000776893,0.040816327,0.091416243,0.096282187,0.022106802,0.087866109,0.13976885,0.003778338,0.562850941,0.971293276,0.098234417,0.781661556,0.074013401,0.329158594,0.001234568
155,Iceland,0.006008893,2.35E-05,0.000352345,0.00015822,0.664289364,0.044560477,1,1,1,0.000987425,1,0.16998313,0.000357953,0.001083559,4.36E-07,0.000944206,9.52E-05,0.968965517,0.012335628,0.000283924,0.020408163,0.047622862,0.196717758,0.002740445,0,0.254185779,0,0.435492249,1,0.195029002,0.522827726,0.067675394,0.20261883,0.002469136
156,Bolivia (Plurinational State of),0.06423679,0.003842882,0.009032888,0.001032864,0.02995765,0.139975964,0.93306288,0.100874007,0.853587116,0.001692729,0.73245614,0.036756899,0.002736026,0.924304687,0.002790698,0.000152599,0.000298549,0.563793103,0.004441215,0.00583524,0.632653061,0.010591379,0.001516514,0.000707144,0.326359833,0.417888696,0.279596977,0.372191375,0.300049781,0.47945107,0.218742688,0.127796758,0.138973389,0.001605103
157,Brunei Darussalam,0.00032226,0.000109381,0.000372826,0.009018007,0.256494731,0.01285273,0.996348884,0.039389196,0.994143485,0.001887947,0.992105263,0.042986253,0.000113141,0.057907186,7.70E-06,0.002784359,0.000893142,0.810344828,0.069398229,0.001492328,0.469387755,0.064039978,0.003024896,5.35E-05,0.175732218,1,0.100755668,0.546220432,0.868849473,0.274189199,0.150947545,0.063777513,0.282770269,0.003650617
158,Cabo Verde,0.000220494,0.000213455,0.000402644,0.016553557,0.028548263,0.081265499,0.878296146,0.001097874,0.878477306,0,0.860745614,0.008631572,2.77E-05,0.93072347,3.63E-05,1.91E-06,0.002183079,0.472413793,0.00546472,0.014693787,0.616326531,0.041835844,0,0,0.058577406,0.034051111,0.141057935,0.45743718,0.530118823,0.428543308,0.131933621,0.071921627,0,2.67E-05
159,Congo,0.019987145,0.001984355,0.004125704,0.001631977,0.018065201,0.105880503,0.914807302,0.320222334,0.655929722,0.000782132,0.342105263,0.001969302,0.000112747,0.043846515,5.81E-06,0.000114449,0,0.406896552,0.004011552,0.003584968,0.346938776,0.079453189,5.02E-05,1.07E-05,0.09623431,0.460254875,0.254156171,0.608711449,0.512973758,0.434064612,0.221777816,0.077860912,0.267294386,0.039847737
160,C̫te d'Ivoire,0.01884432,0.013571705,0.014478317,0.009297586,0.013363268,0.260847707,0.860040568,0.006772586,0.734992679,0.004010156,0.657894737,0.008078037,0.001519197,0.519026513,0.000872093,0.00115403,0.001314155,0.239655172,0.003804434,0.000745394,0.469387755,0.018814006,0.043473191,0.065604734,0.088702929,0.328637278,0.419395466,0.533243438,0.494120837,0.715428445,0.077451809,0.161953948,0.206023361,0.016049383
161,Czechia,0.004597616,0.003143526,0.009256512,0.016748149,0.184096616,0.02460681,1,0.002430805,1,0.007745748,1,0.029880172,0.002134708,0.028730036,6.77E-05,0.004612303,0.006430291,0.887931034,0.021417128,0.001272635,0.653061224,0.087847168,0.008535968,0.00378405,0.041841004,0.193093748,0.050629723,0.533232286,0.819880658,0.08168887,0.666677786,0.098512472,0.273509932,0.005679753
162,Democratic People's Republic of Korea,0.007034745,0.010985574,0.018623764,0.026329661,0.005305082,0.275980475,0.997971602,0.005967615,0.995607613,0.011350355,0.993421053,0.06851276,0.011369208,0.76742922,0.009607558,0.005460181,0.007197304,0.376206897,0.006528619,7.75E-05,0.612244898,0.001262256,0.023809753,0.025224269,0.041841004,0.244944303,0.344584383,0.457404294,0.58294524,0.599996457,0.140022888,0.309262894,0.019052099,0.014295802
163,Democratic Republic of the Congo,0.13712723,0.05133462,0.042304575,0.004122902,0.003286719,0.240481281,0.61663286,0.031003955,0.303074671,0.00583513,0.245614035,0,0.000890546,0.105723433,0.000104506,0.000700048,5.18E-05,0.143103448,0.003502337,0.002211779,0.387755102,0.036380283,1.85E-05,6.28E-05,0.128033473,0.437094697,0.191939547,0.53526916,0.526883342,0.465954546,0.198958387,0.098142061,0.000275457,0.006461481
164,Eswatini,0.001000118,0.001174335,0.000362843,0.00791271,0.028665392,0.100680505,0.870182556,0.007886922,0.62079063,0.00050001,0.658991228,0.194173571,0.001395674,0.946828123,0.001462209,9.87E-05,0.020135832,0.396551724,0.001880865,0.001386088,0.632653061,0.002731193,0.014835214,0.000695171,0.138075314,0.176401473,0.465994962,0.45743718,0.530118823,0.679804701,0.106469979,0.064647569,0.22928995,0.00370823
165,Grenade,4.68E-06,7.74E-05,2.60E-05,0.0408359,0.094069242,0.064717861,0.979716024,0.003548204,0.950219619,0.000130985,0.948464912,0.024506032,1.08E-05,0.14970786,3.05E-06,0,0.001823816,0.667241379,0.043206548,0.20758854,0.730612245,0.042963254,5.66E-06,2.61E-08,0.130543933,0.247011772,0.129722922,0.505465821,0.485454032,0.219612399,0.309730929,0.062864993,0.039460822,0.00082963
166,Iran (Islamic Republic of),0.102052347,0.023371805,0.071579886,0.005573572,0.050755229,0.114684365,0.953346856,0.003341477,0.944363104,0.078067064,0.913377193,0.236885207,0.122595037,0.926533718,0.125,0.005245589,0.021104328,0.734482759,0.006572787,0.002753989,0.653061224,0.003748048,0.0157138,0.052812229,0.154811715,0.05187315,0.222418136,0.496947704,0.492447931,0.461660118,0.138180417,0.127065861,0.085973242,0.006189877
167,Lao People's Democratic Republic,0.013834375,0.005061954,0.002774767,0.003448679,0.021435673,0.195778113,0.707910751,0.094347344,0.644216691,0.001617161,0.664473684,0.215482896,0.009611244,0.96398539,0.010203488,0.000810682,0.001232158,0.394827586,0.002139496,0.000374497,0.795918367,0.001268018,0.04356851,0.012620235,0.125523013,0.53933841,0.281360202,0.434509372,0.313044604,0.466741773,0.232105795,0.09970294,0.122384974,0.028160494
168,Myanmar,0.039558451,0.041820542,0.01917004,0.009689454,0.010411697,0.282138417,0.851926978,0.043030623,0.715959004,0.041832077,0.719298246,0.127326743,0.043870905,0.890145739,0.042979651,0.002376729,0.001499571,0.351724138,0.002965471,0.001026957,0.653061224,0.001289681,0.008298412,0.018455015,0.414225941,0.651185123,0.430730479,0.502786364,0.573538049,0.362107623,0.180855457,0.249075352,0.01445127,0.044436214
169,North Macedonia,0.001488479,0.000989828,0.001406332,0.009952191,0.048464047,0.094995804,0.995943205,0.00604656,0.991215227,0.003474881,0.987938596,0.080770867,0.001086247,0.397492675,0.000478514,0.001076822,0.00655472,0.663793103,0.011982951,0.000159774,0.673469388,0.0081708,0.03137323,0.002721194,0.020920502,0.168916782,0.046599496,0.45743718,0.530118823,0.108291865,0.481602987,0.070934473,0.22928995,0.001234568
170,Palestine,0.000336882,0.001333969,0.004408295,0.099105206,0.028897845,0.084921227,0,0.000346812,0.390922401,0.00226201,0.797149123,0.01457436,0.000485286,0.434006872,0.000235465,0.000152599,0.010661252,0.544827586,0.105023407,0.001758267,0.612244898,0.02830045,0,0,0.050209205,0.238623269,0.310831234,0.469863478,0.52223,0.441816645,0.197674424,0.080486707,0.025707625,0.000294239
171,Republic of Korea,0.005851565,0.01060478,0.049253342,0.063928763,0.28890141,0.022103616,0.993914807,0.002683185,0.964860908,0.084011768,0.867324561,0.107623779,0.035579908,0.592374799,0.023197674,0.021220792,0.022125696,0.915517241,0.027868749,0.002422752,0.714285714,0.042795147,0.010514471,0.022381964,0.117154812,0.246232234,0.02115869,0.511244456,0.862068679,0.092410665,0.688881702,0.094119912,0.60221701,0.013654321
172,Republic of Moldova,0.001964558,0.002617073,0.002024239,0.014859865,0.020794157,0.138558989,0.937119675,0.00594512,0.830161054,0.001843866,0.796052632,0.040958749,0.001096066,0.050259067,6.10E-05,0.003099666,0.003232478,0.579310345,0.01154688,5.21E-06,0.775510204,0.006062371,0.007922221,0.00133986,0.292887029,0.146264998,0.317128463,0.428022781,0.491781602,0.387403583,0.277115649,0.077874884,0.019976633,0.000650041
173,Russian Federation,1,0.041628915,0.126830167,0.000821563,0.099010846,0.042603764,0.977687627,0.061166943,0.954612006,0.223032202,0.903508772,0.089584943,0.084631537,0.291207638,0.027122093,0.133714831,0.001056681,0.774137931,0.000976224,0.000249098,0.408163265,0.01518718,0.157107524,0.952511195,0.292887029,0.131578055,0.041561713,0.498752386,0.412926433,0.155247081,0.519177362,0.056956775,0.038314714,0.366875309
174,Sao Tome and Principe,4.09E-05,6.44E-05,0.00015418,0.026928366,0.015351919,0.145987936,0.977687627,0.020706549,0.957540264,0.000164991,0.929824561,0.039016594,4.60E-05,0.629159963,3.72E-05,2.86E-06,0.000480123,0.396551724,0.005298267,0.001625231,0.616326531,0.005972532,0.005371928,4.63E-05,0.09623431,0.225399372,0.27581864,0.439451978,0.643186853,0.794845752,0.067184808,0.062622708,0.22928995,0.00370823
175,South Sudan,0.03766934,0.011406473,0.002864772,0.001882699,0.004589948,0.034146236,0.324543611,0.008923975,0.395314788,0.002410628,0.527412281,0.010710243,0.000856905,0.366631494,0.000348837,0.001072961,0.001090419,0.070689655,0.000508915,0.000542884,0.510204082,0.01554786,0.012552894,0.016252719,0.110460251,0.145414285,0.765743073,0.571989224,0.717705125,0.779419643,0.082704949,0.23118342,0.413288684,0.019860082
176,Syrian Arab Republic,0.010815306,0.009553901,0.011570466,0.011380869,0.00564102,0.249074382,0.843813387,0.001933227,0.855051245,0.018557049,0.859649123,0.200547036,0.022016596,0.879812556,0.021322674,0.002934669,0.032290243,0.294827586,0.001791758,0.000148612,0.551020408,0.000641074,0.032786785,0.023351,0.19832636,0.09952098,0.205289673,0.584360618,0.794646701,0.499232109,0.131690811,1,0.044732257,0.008477366
177,United Republic of Tanzania,0.055388967,0.043147176,0.022442603,0.007019194,0.00776434,0.345522722,0.537525355,0.003464391,0.349926794,0.006617262,0.402412281,0.01783527,0.006804389,0.898148148,0.006732558,0.000119218,0.003359534,0.256896552,0.003217836,0.01152304,0.632653061,0.005501987,0.054376667,0.123824117,0.079497908,0.30801907,0.512342569,0.603279254,0.441018971,0.718478527,0.076454819,0.287674187,0.180163077,0.005609218
178,United States of America,0.575101518,0.065468793,0.315696899,0.003914475,0.546472609,0.010529348,0.987829615,0.018569856,0.988286969,0.735385096,0.980263158,0.280251191,0.583820689,0.398642673,0.256104651,1,0.007306775,0.94137931,0.003570346,0.000280041,0.632653061,0.034549743,0.064569222,0.874465117,0.087866109,0.258507129,0.062468514,0.477546306,0.435895401,0.198468749,0.47214761,0.056222016,0.02270405,0.752674897
179,Venezuela (Bolivarian Republic of),0.053327321,0.004249598,0.033417876,0.003810952,0.069652397,0.064130374,0.898580122,0.088642115,0.89897511,0.064502559,0.757675439,0.157042918,0.029724803,0.742347636,0.024287791,0.003783023,0.001951168,0.624137931,0.005303895,0.002180473,0.551020408,0.007666046,0.152920466,0.187313883,0.146443515,0.505445466,0.331989924,0.386378716,0.279344667,0.46140457,0.221124185,0.134896915,0.627390232,0.010411687
180,Viet Nam,0.019357246,0.069609915,0.039873778,0.03573365,0.020388046,0.185432003,0.981744422,0.01838338,0.964860908,0.015169071,0.966008772,0.177176598,0.107785461,0.952734972,0.113008721,0.014659037,0.004701467,0.546551724,0.006558371,0.000393516,0.775510204,0.001762237,0.013483029,0.053137596,0.242677824,0.555719999,0.308312343,0.667179356,0.541303204,0.518517546,0.166408381,0.204928057,0.206915986,0.153045267
