,country,Total area of the country (excl. coastal water) (1000 ha),Rural population (1000 inhab),Urban population (1000 inhab),Population density (inhab/km2),GDP per capita (current US$/inhab),"Agriculture, value added (% GDP) (%)",Urban population with access to safe drinking-water (JMP) (%),Total renewable water resources per capita (m3/inhab/yr),Total population with access to safe drinking-water (JMP) (%),Municipal water withdrawal (km<sup>3</sup>/year or 10<sup>9</sup>m<sup>3</sup>/year),Rural population with access to safe drinking-water (JMP) (%),Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),Total water withdrawal (10^9 m3/yr),Agricultural water withdrawal as % of total water withdrawal (%),Agricultural water withdrawal (10^9 m3/year),Industrial water withdrawal (km<sup>3</sup>/year or 10<sup>9</sup>m<sup>3</sup>/year),SDG 6.4.2. Water Stress (%),Human Development Index (HDI) [highest = 1] (-),SDG 6.4.1. Irrigated Agriculture Water Use Efficiency (US$/m3),SDG 6.4.1. Industrial Water Use Efficiency (US$/m3),Flood occurrence (WRI) (-),SDG 6.4.1. Water Use Efficiency (US$/m3),Dam capacity per capita (m3/inhab),Resilience and securityStorage drought duration index(Total dam capacity_km3),nutrient security,National Rainfall Index (NRI) (mm/yr),"Mortality rate, infant (per 1,000 live births)",longitude,latitude,population ages0-14,Population ages 65 and above(-of total population),Net official development assistance and official aid received (current US$),% of total cultivated area drained (%),Total exploitable water resources (10^9 m3/yr)
64,El Salvador,0.001215348,0.002060295,0.005370313,0.038003317,0.034639668,0.060730239,0.949290061,0.008089,0.909224012,0.005949742,0.851973684,0.066675247,0.002775449,0.679138106,0.002079942,0.001015737,0.003424328,0.503448276,0.000770378,0.000494582,0.775510204,0.008020724,0.017320839,0.004609594,0.083682008,0.398400253,0.123425693,0.236710107,0.516653017,0.387274972,0.272411881,0.085993631,0.008063325,0.00370823
65,Saint Lucia,2.11E-05,0.000163691,1.93E-05,0.036522019,0.091505532,0.01774826,0.989858012,0.003261079,0.945827233,0.000137282,0.951754386,0.047182409,4.86E-05,0.712296339,4.42E-05,0,0.003706702,0.639655172,2.68E-05,0.20758854,0.734693878,0.029747117,0.000409853,3.09E-06,0.09623431,0.258766975,0.129722922,0.316129996,0.517741209,0.219612399,0.309730929,0.062864993,0.039460822,0.00082963
66,Senegal,0.011489655,0.009493753,0.008765032,0.009625389,0.01109649,0.1821496,0.855983773,0.004971328,0.685212299,0.00121413,0.641447368,0.027986418,0.002910798,0.934578785,0.003001453,0.000276586,0.003059322,0.236206897,0.001467162,0.001571121,0.510204082,0.005526317,0.000462484,0.000297087,0.09623431,0.156065707,0.391687657,0.448488417,0.523295521,0.813325093,0.072337152,0.190613589,0.012758109,0.015779012
67,Eritrea,0.006862795,0.003451476,0.002351115,0.003405679,0.009717799,0.211048803,0.456389452,0.004215993,0.382137628,0.000370285,0.487938596,0.033452013,0.000757036,0.949913644,0.000799419,4.77E-06,0.002895143,0.1,0.000545936,0.022729994,0.510204082,0.005467368,0.000368669,5.24E-05,0.236820084,0.087432497,0.363979849,0.602775099,0.529737767,0.08933093,0.658455004,0.083354784,0.094306023,0.013787243
68,Honduras,0.006563929,0.004536925,0.006182545,0.010310127,0.021762698,0.155173934,0.947261663,0.019226637,0.871156662,0.003947183,0.822368421,0.033431711,0.002103958,0.736841087,0.001712209,0.000543634,0.001193054,0.427586207,0.003604172,0.000976299,0.734693878,0.009658574,0.017560338,0.00689794,0.334728033,0.450369433,0.162468514,0.244261903,0.529932356,0.501935148,0.136769294,0.099958093,0.033861278,0.013787243
69,Dominica,2.87E-05,2.48E-05,4.13E-05,0.011753571,0.063059893,0.162489301,0.912778905,0.005505381,0.918008785,0.000219148,0.910087719,0.056014794,1.85E-05,0.050259067,1.45E-06,0,0.002589956,0.603448276,7.13E-05,0.200664202,0.734693878,0.032701097,0.001962139,0.000285581,0.09623431,0.225399372,0.369017632,0.315014551,0.53196327,0.155761879,0.527338388,0.062624547,0.262010664,0.00370823
70,Chad,0.07508134,0.012926118,0.004018559,0.001222715,0.00542323,0.411775823,0.427991886,0.005986161,0.279648609,0.00128592,0.394736842,0.010352712,0.001148104,0.768170648,0.000977035,0.000494516,0.001108299,0.048275862,0.000696599,0.000416565,0.612244898,0.006684895,0.055794205,0.105485218,0.033472803,0.176457961,0.850125945,0.542891849,0.532333557,0.919456924,0.049732438,0.122888745,0.297818425,0.018847737
71,Yemen,0.030863862,0.020327786,0.012045071,0.006391649,0.006854884,0.227995365,0.432048682,0.000148402,0.339677892,0.003317447,0.413377193,0.024692884,0.004676909,0.912135107,0.004702035,0.000309967,0.044081462,0.155172414,0.012358285,0.001242055,0.591836735,0.004112959,0.000473965,0.00054961,0.213389121,0.059103645,0.400755668,0.627621836,0.533263999,0.636144701,0.107998969,0.210296373,0.261385946,0.001950617
72,Guatemala,0.006353378,0.00938092,0.010144461,0.019321119,0.039757371,0.121443326,0.967545639,0.014874471,0.894582723,0.010496433,0.855263158,0.038814106,0.004360349,0.570311369,0.002741279,0.002876013,0.001484143,0.475862069,0.018702129,0.000508803,0.714285714,0.014882846,0.000782203,0.000551203,0.062761506,0.619269268,0.240554156,0.232914295,0.535444161,0.573912204,0.14052392,0.094101346,0.000551224,0.013787243
73,Thailand,0.029995339,0.039440392,0.040257934,0.016743325,0.059080484,0.100449555,0.951318458,0.012465771,0.967789165,0.034476765,0.978070175,0.169106191,0.075296379,0.908427424,0.075276163,0.013242728,0.005969784,0.670689655,0.006448445,0.001037589,0.755102041,0.005763399,0.032654989,0.094153729,0.050209205,0.4803082,0.076826196,0.776905658,0.536261249,0.119753487,0.419053508,0.02681585,0.399378541,0.051843621
