,country,Total area of the country (excl. coastal water) (1000 ha),Rural population (1000 inhab),Urban population (1000 inhab),Population density (inhab/km2),GDP per capita (current US$/inhab),"Agriculture, value added (% GDP) (%)",Human Development Index (HDI) [highest = 1] (-),Total renewable water resources per capita (m3/inhab/yr),Dam capacity per capita (m3/inhab),Agricultural water withdrawal (10^9 m3/year),Industrial water withdrawal (km<sup>3</sup>/year or 10<sup>9</sup>m<sup>3</sup>/year),Municipal water withdrawal (km<sup>3</sup>/year or 10<sup>9</sup>m<sup>3</sup>/year),Total water withdrawal (10^9 m3/yr),Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),Agricultural water withdrawal as % of total water withdrawal (%),SDG 6.4.2. Water Stress (%),SDG 6.4.1. Water Use Efficiency (US$/m3),SDG 6.4.1. Irrigated Agriculture Water Use Efficiency (US$/m3),SDG 6.4.1. Industrial Water Use Efficiency (US$/m3),Total population with access to safe drinking-water (JMP) (%),Rural population with access to safe drinking-water (JMP) (%),Urban population with access to safe drinking-water (JMP) (%),"Mortality rate, infant (per 1,000 live births)",Resilience and securityStorage drought duration index(Total dam capacity_km3)
128,Nigeria,0.054025507,0.106080881,0.102682237,0.023904445,0.017294869,0.391221731,0.271523179,0.003278411,0.008199281,0.008008721,0.008436373,0.068566663,0.016386441,0.012214334,0.443971882,0.003116527,0.076630966,0.003137734,0.009412962,0.494875549,0.489035088,0.537558685,0.883774453,0.060209616
130,North Macedonia,0.001501911,0.001029786,0.001599078,0.010520077,0.030152247,0.162601238,0.665562914,0.005910413,0.029875381,0.00196657,0.000525431,0.003144331,0.002235494,0.153428784,0.797099029,0.004941813,0.011932938,0.002740967,0.001894569,0.991215227,0.986842105,0.995305164,0.101265823,0.002721194
131,Norway,0.022525737,0.001168142,0.005422752,0.001495253,0.668523629,0.019624507,1,0.150154466,0.179633276,0.001228052,0.004598145,0.011171713,0.003583335,0.101005235,0.310874381,0.000662684,0.347460359,0.009116521,0.019754292,1,1,1,0.004602992,0.039548039
132,Oman,0.018099545,0.000900206,0.003637425,0.001266597,0.144612473,0.020202515,0.771523179,0.000766672,0.000683746,0.002271948,0.000529796,0.001766843,0.002380962,0.096194721,0.864769092,0.036686361,0.095488071,0.006762595,0.052923516,0.901903367,0.847587719,0.894366197,0.092059839,0.000105026
133,Pakistan,0.046558648,0.133081124,0.085451852,0.03113601,0.007159411,0.424386033,0.322847682,0.002524401,0.004018329,0.250581395,0.006010647,0.132354071,0.241059402,0.183070091,0.944634856,0.037249634,0.002895138,0.004073837,0.005104357,0.866764275,0.878289474,0.863849765,0.676639816,0.033045799
134,Palau,2.51E-05,5.72E-06,1.32E-05,0.004873901,0.066173384,0.065405059,0.743377483,0,0.037267984,0.022984565,0.01702681,0.035075165,0.029122166,0.08520412,0.532124372,0.021077952,0.101144359,0.017080962,0.037014052,0.931185944,0.846491228,0.929577465,0.180667434,0.050288757
135,Palestine,0.000350329,0.001262393,0.004339569,0.093734957,0.017931066,0.144696075,0.572847682,0.00037801,0,0.000236219,0.000107061,0.002337194,0.00046575,0.01412919,0.454495872,0.016414906,0.091080295,0.093614215,0.015777726,0.489019034,0.805921053,0.042253521,0.242256861,0
136,Panama,0.004409231,0.001496869,0.003356692,0.006427389,0.069768114,0.054031576,0.715231788,0.070770939,0.065578099,0.000674419,3.95E-05,0.009338111,0.00151188,0.055989462,0.403626734,0.000268979,0.106801035,0.004624594,0.160260422,0.907759883,0.847587719,0.94600939,0.14269275,0.010858037
137,Papua New Guinea,0.02706773,0.007488171,0.001300478,0.001958184,0.018084553,0.344860949,0.281456954,0.201073961,0,1.45E-06,0.00071956,0.003043963,0.000508676,0.007831145,0.002563584,3.39E-05,0.101144359,0.017080962,0.004653883,0.120058565,0.263157895,0.718309859,0.426927503,0
138,Paraguay,0.023787271,0.002961893,0.005176229,0.001864823,0.033567671,0.180327862,0.594370861,0.115675576,0.141301619,0.002757267,0.000661171,0.004943867,0.003164278,0.069075563,0.790231668,0.000584449,0.030647958,0.00196616,0.008040336,0.903367496,0.849780702,0.962441315,0.191024166,0.039844056
139,Peru,0.075165134,0.00810142,0.031415851,0.002821303,0.041273366,0.119949347,0.655629139,0.122037847,0.005294576,0.018328488,0.001063885,0.027763298,0.019551114,0.093361908,0.851648276,0.00088464,0.028785045,0.007255733,0.038948715,0.787701318,0.629385965,0.788732394,0.113924051,0.006860127
140,Philippines,0.017543931,0.060898299,0.06006372,0.042979371,0.016214786,0.21151278,0.572847682,0.009438818,0.001977904,0.098706395,0.038798729,0.100131141,0.110701122,0.161752084,0.810249089,0.008317162,0.007264093,0.002318916,0.000970397,0.865300146,0.876096491,0.845070423,0.246260069,0.008443199
141,Poland,0.018285529,0.017459244,0.031521439,0.016065461,0.085190624,0.047162067,0.824503311,0.003031723,0.002092584,0.001601744,0.032835308,0.027838745,0.015078943,0.05482915,0.096490405,0.012825511,0.096009485,0.001928178,0.002241207,0.970717423,0.956140351,0.983568075,0.026467204,0.003512632
142,Portugal,0.005391204,0.004685708,0.008858224,0.014985055,0.133757766,0.033894734,0.812913907,0.014085417,0.029906691,0.012742733,0.006427099,0.012468038,0.014677495,0.198557388,0.788619166,0.005931623,0.043699466,0.002389815,0.003266827,0.998535871,1,0.997652582,0.014959724,0.013823673
143,Puerto Rico,0.000517013,0.000268645,0.004693284,0.05293867,0.180064237,0.013814907,0.583461607,0.003845747,0.037267984,0.00012189,0.012175854,0.012071047,0.004988758,0.201070343,0.022174479,0.006921232,0.080061279,0.041017635,0.002724862,0.906295754,0.929824561,0.849765258,0.242256861,0.050288757
144,Qatar,0.000677263,3.18E-05,0.002816362,0.024988141,0.582324152,0.001095684,0.847682119,5.06E-05,0.037267984,0.000419767,7.64E-05,0.006024652,0.000975548,0.062384623,0.388414809,0.137128085,0.572888344,0.007652618,1,1,1,1,0.054085155,0.050288757
145,Republic of Korea,0.00585558,0.010498902,0.055459521,0.066429234,0.16771966,0.03859216,0.913907285,0.002667112,0.010181758,0.023197674,0.019105272,0.098971232,0.036296486,0.102321855,0.580700652,0.027540392,0.128445186,0.025210518,0.016201352,0.964860908,0.867324561,0.992957746,0.242256861,0.022381964
146,Republic of Moldova,0.001977984,0.002709895,0.002343694,0.01581895,0.013291988,0.186678708,0.587748344,0.00576681,0.007486292,5.67E-05,0.003012479,0.00197017,0.001157549,0.039166574,0.044251681,0.004071548,0.01652378,0.007915972,0,0.82284041,0.786184211,0.927230047,0.242256861,0.00133986
147,Romania,0.013940632,0.0107514,0.014761794,0.011076333,0.055095237,0.083193197,0.758278146,0.020077962,0.014800341,0.001588663,0.018615834,0.014422813,0.008511225,0.058632432,0.169494479,0.001952934,0.059616262,0.004274688,0.001501197,0.985358712,0.976973684,1,0.062140391,0.01314596
148,Russian Federation,1,0.043530991,0.143565773,0.000882382,0.100681709,0.056765714,0.759933775,0.060203543,0.150642315,0.017804574,0.157773658,0.17055993,0.080721074,0.078679945,0.200428909,0.001306848,0.05362216,0.001093248,0.001382423,0.950219619,0.894736842,0.971830986,0.055235903,0.952511195
149,Rwanda,0.001538757,0.010377299,0.002471548,0.053179749,0.003692548,0.523279868,0.274834437,0.002415002,0,0.000148256,8.80E-05,0.00082032,0.000235087,0.001421211,0.557523096,0.001959621,0.068580632,0.001233505,0.008129066,0.623718887,0.672149123,0.680751174,0.321058688,0
150,Saint Kitts and Nevis,1.35E-05,4.20E-05,1.39E-05,0.025350864,0.099421646,0.022828949,0.678807947,0.000921571,0.037267984,2.91E-07,0,0.000189305,1.39E-05,0.057169486,0.01288694,0.016423782,0.101144359,0.007554239,0.037014052,0.97510981,0.981359649,0.960093897,0.242256861,0.050288757
151,Saint Lucia,3.45E-05,0.000165114,3.55E-05,0.037760373,0.053444592,0.03391816,0.650662252,0.003253286,0.000398321,4.42E-05,0,0.000149523,4.98E-05,0.043982073,0.712296339,0.004613822,0.101144359,0,0.037014052,0.941434846,0.948464912,0.981220657,0.242256861,3.09E-06
152,Saint Vincent and the Grenadines,2.11E-05,6.36E-05,6.55E-05,0.03684347,0.040947008,0.109866918,0.620860927,0.001766588,0.037267984,6.38E-07,0.01702681,0.035075165,4.71E-06,0.013078195,0.051414595,0.002609577,0.101144359,0.017080962,0.037014052,0.928257687,0.94627193,0.884976526,0.242256861,0.050288757
153,Samoa,0.000164345,0.000176103,4.21E-05,0.00863955,0.025504539,0.163651916,0.592715232,0,0.001431191,0.022984565,0.01702681,0.035075165,0.029122166,0.08520412,0.532124372,0.021077952,0.101144359,0.017080962,0.037014052,0.978038067,0.986842105,0.938967136,0.14269275,1.19E-05
155,Sao Tome and Principe,5.44E-05,6.96E-05,0.000158367,0.025935207,0.008308303,0.205576171,0.364238411,0.022165177,0.005601939,0.022984565,0.01702681,0.035075165,3.94E-05,0.033208219,0.532124372,0.000510196,0.101144359,0.017080962,0.037014052,0.956076135,0.929824561,0.974178404,0.277330265,4.63E-05
156,Saudi Arabia,0.125724198,0.005887793,0.032553916,0.001568056,0.165810955,0.036677195,0.82615894,0.00015769,0.000931991,0.025450581,0.003619268,0.034642736,0.027431192,0.133344742,0.842946618,0.2909636,0.082092091,0.011460285,0.072810097,0.956076135,0.967105263,0.929577465,0.057537399,0.00119317
157,Senegal,0.011502952,0.008791142,0.008283817,0.008846297,0.008054427,0.243358765,0.25,0.005570137,0.000504818,0.003001453,0.000249013,0.001322388,0.002911977,0.029418516,0.934578785,0.003808013,0.015442786,0.000889601,0.009947938,0.653001464,0.60745614,0.823943662,0.387802071,0.000297087
158,Serbia,0.005166035,0.004630845,0.006718184,0.013254131,0.036464876,0.13442722,0.718543046,0.03475463,0.006871121,0.000907703,0.013296411,0.009322564,0.005077563,0.079837318,0.162247545,0.001595249,0.020673567,0.002414073,0.000135419,0.988286969,0.989035088,0.985915493,0.04027618,0.002697427
