,country,water security index,Total area of the country (excl. coastal water) (1000 ha),Rural population (1000 inhab),Urban population (1000 inhab),Population density (inhab/km2),GDP per capita (current US$/inhab),"Agriculture, value added (% GDP) (%)",Human Development Index (HDI) [highest = 1] (-),Total renewable water resources per capita (m3/inhab/yr),Dam capacity per capita (m3/inhab),Agricultural water withdrawal (10^9 m3/year),Industrial water withdrawal (km<sup>3</sup>/year or 10<sup>9</sup>m<sup>3</sup>/year),Municipal water withdrawal (km<sup>3</sup>/year or 10<sup>9</sup>m<sup>3</sup>/year),Total water withdrawal (10^9 m3/yr),Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),Agricultural water withdrawal as % of total water withdrawal (%),SDG 6.4.2. Water Stress (%),SDG 6.4.1. Water Use Efficiency (US$/m3),SDG 6.4.1. Irrigated Agriculture Water Use Efficiency (US$/m3),SDG 6.4.1. Industrial Water Use Efficiency (US$/m3),Total population with access to safe drinking-water (JMP) (%),Rural population with access to safe drinking-water (JMP) (%),Urban population with access to safe drinking-water (JMP) (%),"Mortality rate, infant (per 1,000 live births)",Resilience and securityStorage drought duration index(Total dam capacity_km3)
27,Philippines,3,0.017543931,0.062909073,0.058070609,0.043919788,0.017384556,0.116666678,0.579310345,0.008958593,0.001927005,0.098793605,0.075584168,0.112438034,0.121872023,0.180220458,0.736635178,0.007356966,0.002602822,0.002976205,7.73E-05,0.879941435,0.893640351,0.872210953,0.251889169,0.008443199
28,Samoa,3,0.000164345,0.000180152,3.48E-05,0.008415805,0.024658313,0.124096945,0.574137931,0,0.001460174,0.02321838,0.017546045,0.032869528,0.0292855,0.089683368,0.532361007,0.017892015,0.038222295,0.022992088,0.010387795,0.985358712,0.992324561,0.949290061,0.14231738,1.19E-05
29,Singapore,4,4.03E-05,0,0.006761419,1,0.354439729,0,0.967241379,0.000206763,0.000374298,3.83E-05,0.001603691,0.003717077,0.000859927,0.022102303,0.040207254,0.021293288,0.038222295,0.022992088,0.004603737,1,0.812739128,1,0.006297229,8.90E-05
30,Solomon Islands,2,0.00168848,0.000527411,0.000160646,0.002522091,0.011195434,0.322553597,0.313793103,0.138239461,0.037034498,0.02321838,0.017546045,0.032869528,0.0292855,0.089683368,0.532361007,0.017892015,0.038222295,0.022992088,0.010387795,0.718887262,0.75,0.862068966,0.191435768,0.051617935
31,Sri Lanka,2,0.003835487,0.019161638,0.004543041,0.040322419,0.024771188,0.093893984,0.694827586,0.004915675,0.00802225,0.016438953,0.003962804,0.010118592,0.017005368,0.124691672,0.878155495,0.023570605,0.004600407,0.004640447,0.000550546,0.935578331,0.945175439,0.969574037,0.056675063,0.007061152
32,Tajikistan,2,0.008266942,0.007325776,0.002846237,0.007663044,0.004218854,0.256519959,0.479310345,0.004853159,0.094774642,0.015174419,0.001944683,0.008128627,0.015098391,0.265340129,0.912942658,0.017845553,0.000399312,0.002898587,8.15E-05,0.616398243,0.634868421,0.860040568,0.352644836,0.035062151
33,Thailand,2,0.030008387,0.039440392,0.040269479,0.016743325,0.039090537,0.100449555,0.670689655,0.012465771,0.032654989,0.075276163,0.013242728,0.034476765,0.075297472,0.169106191,0.908427424,0.005969784,0.005763399,0.006448445,0.001037589,0.967789165,0.978070175,0.951318458,0.076826196,0.094153729
34,Timor-Leste,2,0.000867927,0.001017377,0.000456246,0.010283362,0.010940011,0.125996517,0.432758621,0.012997342,0.037034498,0.001556686,9.54E-06,0.001226725,0.001533519,0.192767778,0.918557357,0.007334363,0.001664168,0.001140464,0.01398028,0.588579795,0.566885965,0.902636917,0.459697733,0.051617935
35,Tonga,3,4.21E-05,9.33E-05,2.15E-05,0.016884057,0.02683228,0.192769822,0.593103448,0,0.037034498,0.02321838,0.017546045,0.032869528,0.0292855,0.089683368,0.532361007,0.017892015,0.038222295,0.022992088,0.010387795,0.994143485,0.995614035,0.993914807,0.159949622,0.051617935
36,Turkmenistan,3,0.028545077,0.003163041,0.003484564,0.001235414,0.039030865,0.105753439,0.577586207,0.008460578,0.027716433,0.038313953,0.004000954,0.009488856,0.036726917,1,0.947863644,0.037276613,0.001014685,0.002378134,0.000547261,0.420204978,0.282894737,0.778904665,0.437027708,0.006648202
