,Area,Agricultural water withdrawal,"Agriculture, value added (% GDP)",GDP per capita,Industrial water withdrawal,National Rainfall Index (NRI),Population density,SDG 6.4.2. Water Stress,Total renewable water resources per capita,Total population with access to safe drinking-water (JMP),Poplulation ages 65 and above,latitude
77,Republic of Moldova,-0.9782933336933297,-22.401144493333504,4930.414239066595,0.2507494668400163,520.4580952293347,105.80031251200012,-12.143532151333602,3343.3449483600016,94.572,24.432547208387405,47.4116
78,Democratic Republic of the Congo,0.061776799999999965,14.223492062222704,281.02361710332616,0.2606680000000008,1571.690926065555,51.623394075711076,0.322846997620001,-17352.54433526704,63.93999999999994,122.19231732189655,-0.228
79,India,981.2105111111105,-2.5298824177779125,2866.4816931344103,19.179911111110926,1312.1513888888876,586.5665633771096,96.23058441372223,60.4081957644521,125.01199999999994,0.4670616425573826,20.5937
80,Switzerland,0.3858050000000084,-1.3289545433333245,141035.96625633258,0.6426999999999996,1941.2774073855544,241.64223698844444,4.965719338205588,4635.340218145546,100.00000000000007,-16.695646971464157,46.8182
81,Azerbaijan,7.0120399999998995,-27.54010379999977,13654.541986333206,1.874879999999962,341.5033333333304,148.1632398349334,36.79770367933281,2070.657429959989,112.67466666666678,-27.52754607051611,40.1431
82,Finland,0.071929775386667,-4.2892989366666825,86547.02553069778,0.5002507729733381,496.1957539613352,18.103667178133307,22.22503227417093,17287.208743677736,100.00000000000007,-37.81937073916197,61.9241
83,Haiti,1.4825304758933413,-0.5020485144443683,1180.2433839199912,0.12663695282666687,993.5506614977785,564.4222181032237,18.28538508586675,52.09746423443721,51.001333333333434,13.416463328292593,18.9712
84,Algeria,9.452651515216786,10.898549957777838,7003.632706285542,0.41350198420712053,157.94415184377795,25.017596939245493,202.04362410402155,-43.11087877477985,72.38400000000013,-3.0723608750849962,28.0339
85,Benin,0.02710657137142869,13.950985343333457,1304.3258984611093,0.04695535714285726,937.0380109203331,147.8076142210657,0.9679728860857153,-2498.347747357795,104.92533333333336,17.982308577746153,9.3077
86,Kuwait,1.376109615920008,0.5335747511111189,68117.58290745504,0.031312285280000185,17.651513888888076,309.6736780086003,7438.930225760152,-3.5028848947534925,99.00000000000007,-3.3517722599208355,29.3117
87,South Africa,13.165844512346638,-1.4489245800000106,10924.494608644425,5.836182564386604,502.4839777777747,67.36212105825552,73.46973078813312,-19.812258532008855,107.63066666666657,41.70801007375121,-30.5595
